identifier,formula,Species,spacegroup_number,spacegroup_symbol,volume_per_atom,bravais_lattice,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,avg_nn_dist,sum_atn_nn,avg_en_formula,electronegativity,ionization_energy,electron_affinity,oxidation_states
mp-4961,Na2HgO2,Hg,139,I4/mmm,15.246007157298848,tetragonal,3.380091936431577,3.3800913536419315,7.087368294560475,103.79560307112448,103.79560384748862,89.99999479948873,2.681,38,2.148,2.0,10.437504,-0.52,"(1, 2)"
mp-5024,ZrP2O7,Zr,205,Pa-3,15.121739273153986,cubic,8.45708273,8.45708273,8.45708273,90.0,90.0,90.0,2.067,128,2.979,1.33,6.634126,0.433289,"(4,)"
mp-504591,PbWO4,W,14,P2_1/c,15.137421715334668,monoclinic,4.9874189,5.612886282918976,13.646215434340466,71.99290111870799,90.0,90.0,1.85525,128,3.0749999999999997,2.36,7.86403,0.81650082,"(4, 6)"
mp-504818,MoPO5,Mo,85,P4/n,11.59388017856566,tetragonal,6.206131170001183,6.206129870001134,4.214198940000002,89.99999748387297,90.00000242380548,89.99993002048431,1.90325,64,3.0785714285714283,2.16,7.09243,0.747238,"(4, 6)"
mp-5050,Rb(OsO3)2,Os,227,Fd-3m,14.53184980960748,cubic,7.178540093818069,7.178539652047492,7.17854114,59.99999775144528,59.9999997871871,59.99999513526539,1.913,128,2.873333333333333,2.2,8.43823,1.07766124,"(4,)"
mp-505212,Cs3AuO,Au,194,P6_3/mmc,37.854733206767726,hexagonal,7.85221889,7.852218079072923,7.08932365,90.0,90.0,119.99999908838024,4.009,440,1.67,2.54,9.225554,2.30861025,"(3,)"
mp-505271,Ni(SbO3)2,Ni,136,P4_2/mnm,11.1191843402862,tetragonal,4.652836330004465,10.353670621604415,9.301126360016806,63.298879044868805,90.00004470435151,89.99988319955612,2.037,128,2.961111111111111,1.91,7.639878,1.1571612,"(2,)"
mp-505365,Mg3Nb6O11,Nb,164,P-3m1,12.037739714866042,hexagonal,6.08901898,6.089019302437065,7.49807318,90.0,90.0,120.0000093164248,2.1285,192,2.5685,1.6,6.75885,0.917407,"(5,)"
mp-5061,Li5ReO6,Re,12,C2/m,8.511149315805834,monoclinic,5.008195795823577,5.008195795823577,4.992137144110527,80.10937509674415,80.10937509674415,119.75905583594604,1.8885,32,2.286666666666666,1.9,7.83352,0.06039664,"(4,)"
mp-5072,Rb2HgO2,Hg,139,I4/mmm,24.54894558810349,tetragonal,4.147181838428373,4.147181514268166,7.715690230895027,105.58989241275424,105.58988941363438,89.99999266921378,2.881,90,2.104,2.0,10.437504,-0.52,"(1, 2)"
mp-510408,MnO2,Mn,136,P4_2/mnm,9.252864544844488,tetragonal,2.86707794,4.400418460666183,4.400418460666183,90.00199396392719,90.0,90.0,1.88825,64,2.81,1.55,7.434038,-0.52,"(2, 4, 7)"
mp-510421,CrO3,Cr,40,Ama2,14.38833761079573,orthorhombic,4.716873712301224,4.8810800542884545,5.70504865,90.0,90.0,118.79641141683062,1.66125,64,2.995,1.66,6.76651,0.67592827,"(3, 6)"
mp-510558,Rb2SrV4O12,V,125,P4/nbm,18.761386339366094,tetragonal,11.290137,11.290137,5.593068,90.0,90.0,90.0,1.7505000000000002,256,2.6521052631578947,1.63,6.746187,0.527662,"(5,)"
mp-510607,SrCrO4,Cr,14,P2_1/c,14.351397763698166,monoclinic,7.39811993,6.7533951677968584,8.600444288562919,53.280213149398776,90.0,90.0,1.64625,128,2.7283333333333335,1.66,6.76651,0.67592827,"(3, 6)"
mp-510708,LiFe(SiO3)2,Fe,15,C2/c,10.854830400237564,monoclinic,6.6010935420065815,6.6010935420065815,5.36274093005974,74.65162881714055,74.65162881714055,83.62843158985278,1.994,64,2.725,1.83,7.9024681,0.15323635,"(2, 3)"
mp-510753,NiO2,Ni,164,P-3m1,10.443043023123622,hexagonal,2.7987817300991873,2.7987817300991873,4.618273,90.0,90.0,119.99999361990466,1.875,16,2.9299999999999997,1.91,7.639878,1.1571612,"(2,)"
mp-5207,Sc(PO3)3,Sc,220,I-43d,14.877045247457987,cubic,12.619940422348597,12.619940422348597,12.619940422348597,109.47122063449068,109.47122063449068,109.47122063449068,2.093,256,2.9915384615384615,1.36,6.56149,0.17938023,"(3,)"
mp-5214,TiTe3O8,Ti,206,Ia-3,13.905755903559356,cubic,9.535737414894744,9.535644346122831,9.535705181427756,109.47124752105267,109.4706876023917,109.471617382123,1.9599375,128,2.9466666666666668,1.54,6.82812,0.075545,"(4,)"
mp-5282,AgCO2,Ag,14,P2_1/c,14.04619294150016,monoclinic,5.945906,4.010126,9.976566330857576,70.86693491555513,90.0,90.0,2.415,128,2.84,1.93,7.576234,1.304473,"(1,)"
mp-5403,Rb2TiO3,Ti,64,Cmce,19.979128014431023,orthorhombic,6.689911946157288,6.689911946157288,13.34690476,90.0,90.0,126.6089535643188,1.82975,128,2.25,1.54,6.82812,0.075545,"(4,)"
mp-540783,OsO4,Os,15,C2/c,15.673901730485102,monoclinic,4.435911070485399,5.1619556602526275,7.949700199071792,77.2100873770099,73.777606310776,64.54765964523293,1.712,64,3.192,2.2,8.43823,1.07766124,"(4,)"
mp-540813,K3ReC4(N2O)2,Re,2,P-1,20.112812323081663,triclinic,6.470698,7.038999035806299,7.5740037547393,106.80702451017436,110.86498249133771,105.24529680645784,1.968,28,2.4,1.9,7.83352,0.06039664,"(4,)"
mp-540828,FeClO,Fe,59,Pmmn,17.187306722127403,orthorhombic,3.2769045,3.84810861,8.1780163,90.0,90.0,90.0,2.283285714285714,118,2.81,1.83,7.9024681,0.15323635,"(2, 3)"
mp-540864,VBiO4,V,60,Pbcn,13.785068035357911,orthorhombic,5.108863,5.371602,12.05569,90.0,90.0,90.0,1.762,128,2.901666666666667,1.63,6.746187,0.527662,"(5,)"
mp-540872,AgSbO3,Ag,227,Fd-3m,13.585403397455266,cubic,7.270079791023507,7.270079791023507,7.270079791023507,59.99999999999999,59.99999999999999,59.99999999999999,2.561,128,2.8600000000000003,1.93,7.576234,1.304473,"(1,)"
mp-540895,CsCo(CO)4,Co,82,I-4,20.426720838091903,tetragonal,6.693720112763755,6.693720112763755,6.693720112763755,99.6255960653419,99.6255960653419,131.72695816411294,1.74,24,2.663,1.88,7.88101,0.66225547,"(2, 3)"
mp-540914,K3MnO3,Mn,14,P2_1/c,18.047938569649418,monoclinic,6.594686725344538,6.711565976588594,11.47597277003578,89.9997204516787,90.00002406045881,95.79079294639467,1.8955,128,2.047142857142857,1.55,7.434038,-0.52,"(2, 4, 7)"
mp-541037,CsCuO,Cu,63,Cmcm,25.978492406367867,orthorhombic,6.021535509231144,6.021535509231144,4.97147784,90.0,90.0,120.15159579933852,2.4014285714285712,200,2.0433333333333334,1.9,7.72638,1.235784,"(2,)"
mp-541067,HgNO2,Hg,14,P2_1/c,19.405901452167445,monoclinic,10.74107,4.661167,6.5888454781019865,70.26154916125927,90.0,90.0,2.6437142857142857,412,2.98,2.0,10.437504,-0.52,"(1, 2)"
mp-541361,K2RuNCl5O,Ru,62,Pnma,25.469484682467485,orthorhombic,7.06575,10.611723,13.587388,90.0,90.0,90.0,2.2315,232,2.612,2.2,7.3605,1.046272,"(3, 4)"
mp-541368,Tl4V2O7,V,164,P-3m1,18.269622907236453,hexagonal,5.95886293,5.958863200255246,7.72352375,90.0,90.0,119.99999844420512,1.726375,64,2.601538461538462,1.63,6.746187,0.527662,"(5,)"
mp-5418,Li6Zr2O7,Zr,15,C2/c,10.377939332298158,monoclinic,5.998836075963313,5.998836075963313,10.179526284859572,81.2354175614176,81.2354175614176,59.69282907876861,2.072,128,2.1746666666666665,1.33,6.634126,0.433289,"(4,)"
mp-541966,KAgCO3,Ag,73,Ibca,15.358779369696556,orthorhombic,11.19519101695563,11.19519101695563,11.19519101695563,149.6764890010731,148.543066434933,44.25663703114378,2.5307142857142852,276,2.6033333333333335,1.93,7.576234,1.304473,"(1,)"
mp-542112,CaZrO3,Zr,221,Pm-3m,14.398996431142413,cubic,4.160071,4.160071,4.160071,90.0,90.0,90.0,2.46075,44,2.53,1.33,6.634126,0.433289,"(4,)"
mp-542187,Sr2MnClO3,Mn,129,P4/nmm,16.340206006107707,tetragonal,3.921261012572104,3.921141012572488,14.878096000001076,90.00003001731291,89.99996998313428,90.00917620634094,2.2885,82,2.4185714285714286,1.55,7.434038,-0.52,"(2, 4, 7)"
mp-542789,Li14Cr2N8O,Cr,147,P-3,9.629259919358836,hexagonal,5.8129841595283915,5.8129841595283915,8.22629,90.0,90.0,120.00000181564462,1.7605,56,1.7919999999999998,1.66,6.76651,0.67592827,"(3, 6)"
